Operator Xbee Test
Retrying send
<< $I3,753,I4,761!
 
<< $I5,816,T1,27!
 
<< $A1,9005,A2,9004!
 
<< $A3,101,O1,63!
 
<< $O2,9093,O3,69!
 
